Ticker
AAPL
MSFT
AMZN
NVDA
TSLA
GOOGL
META
GOOG
BRK.B
UNH
JNJ
JPM
XOM
V
LLY
PG
AVGO
MA
HD
MRK
CVX
PEP
ABBV
COST
KO
ADBE
WMT
MCD
CSCO
CRM
PFE
TMO
BAC
NFLX
ACN
ABT
AMD
LIN
ORCL
CMCSA
DIS
WFC
TXN
DHR
VZ
PM
NEE
RTX
HON
INTC
BMY
LOW
SPGI
UPS
NKE
QCOM
INTU
CAT
UNP
COP
BA
IBM
AMGN
AMAT
GE
ISRG
MDT
NOW
PLD
T
SBUX
MS
DE
ELV
GS
LMT
BLK
AXP
SYK
MDLZ
BKNG
TJX
GILD
ADI
MMC
ADP
AMT
CVS
VRTX
C
LRCX
SCHW
CI
MO
TMUS
CB
ETN
ZTS
FI
SO
PGR
PANW
BSX
REGN
PYPL
BDX
EQIX
SLB
DUK
AON
CSX
ITW
MU
EOG
CME
SNPS
NOC
CL
KLAC
APD
WM
CDNS
ICE
HCA
SHW
TGT
ATVI
F
CMG
ORLY
FDX
MCK
HUM
GM
EW
FCX
MCO
MMM
NXPI
NSC
ROP
CCI
EMR
PNC
APH
MSI
DXCM
PH
FTNT
GD
MPC
MCHP
PXD
MAR
KMB
AJG
PSA
USB
AZO
JCI
TDG
ECL
SRE
EL
GIS
TEL
PSX
AEP
TT
D
ADSK
MNST
PCAR
ADM
CTAS
OXY
AIG
BIIB
CARR
VLO
COF
STZ
TFC
EXC
IDXX
NUE
CTVA
O
IQV
WELL
ON
TRV
ANET
WMB
CHTR
MRNA
SPG
HLT
AFL
CPRT
YUM
ROST
SYY
MSCI
ROK
DOW
LHX
DG
CNC
MET
HSY
PAYX
HES
OTIS
AME
DHI
CSGP
GWW
FIS
A
XEL
AMP
CMI
EA
PPG
DLR
KMI
ODFL
FAST
NEM
CTSH
VRSK
PRU
BK
ED
DD
BKR
RMD
PEG
ABC
VICI
DVN
RSG
GEHC
KR
LEN
DAL
DLTR
HAL
CEG
URI
ZBH
KEYS
DFS
VMC
ALL
MTD
ILMN
APTV
WEC
KHC
PCG
WBD
ANSS
GPN
WST
IT
PWR
EFX
AWK
MLM
ACGL
KDP
OKE
AVB
HPQ
ALB
EIX
GLW
XYL
CBRE
SBAC
IR
FTV
ES
CDW
WTW
TROW
CHD
STT
CAH
TSCO
WY
ULTA
ALGN
EBAY
FANG
GPC
MPWR
BAX
HIG
DTE
EQR
TTWO
LYB
RCL
LUV
ENPH
STE
AEE
HPE
MKC
MTB
FE
ETR
WBA
VRSN
DOV
INVH
EXR
IFF
DRI
RJF
CLX
FICO
WAB
HOLX
PPL
PODD
VTR
BR
TDY
CCL
CTRA
OMC
CNP
COO
LH
ARE
FLT
NVR
FSLR
FITB
HWM
EXPD
LVS
MAA
UAL
BALL
CMS
K
MOH
SWKS
STLD
TRGP
PFG
TYL
IRM
PHM
ATO
RF
TER
NDAQ
GRMN
NTAP
LW
BBY
SJM
BRO
CAG
WAT
IEX
PAYC
EXPE
J
DGX
CINF
NTRS
HBAN
ESS
ZBRA
FDS
SNA
TSN
JBHT
IPG
BG
AMCR
RE
PTC
RVTY
SYF
LKQ
CBOE
MRO
EQT
SEDG
POOL
AKAM
AES
TXT
AVY
SWK
EVRG
CF
LNT
AXON
EPAM
UDR
KMX
LYV
FMC
NDSN
TECH
CFG
MGM
TRMB
MAS
TAP
KIM
HST
PKG
CPT
WRB
BF.B
LDOS
WDC
VTRS
DPZ
JKHY
MOS
STX
INCY
AAL
L
MTCH
HRL
PEAK
IP
NI
CHRW
CE
TFX
APA
HSIC
BWA
CRL
WYNN
ETSY
GEN
PNR
ALLE
TPR
ROL
CZR
JNPR
GL
CDAY
EMN
QRVO
UHS
REG
MKTX
CPB
PNW
FOXA
AOS
NCLH
HII
NRG
KEY
BBWI
FFIV
RHI
XRAY
GNRC
PARA
HAS
BXP
BIO
CTLT
WHR
NWSA
IVZ
BEN
WRK
FRT
AIZ
ALK
VFC
DXC
SEE
DVA
CMA
MHK
RL
OGN
FOX
AAP
ZION
LNC
NWL
NWS
FTRE
PHIN
SPY
DIA
